駅名,緯度,経度
銀座一丁目,35.674510,139.766780
錦糸町,35.696720,139.814320
門前仲町,35.672770,139.795105
阿佐ヶ谷,35.704880,139.635855
雑司が谷,35.720200,139.714715
霞ヶ関,35.674235,139.752680
青山一丁目,35.672955,139.724075
飯田橋,35.701420,139.746530
馬喰横山,35.692010,139.782925
馬喰町,35.693370,139.782435
馬込,35.596445,139.711850
駒込,35.736860,139.748055
高円寺,35.705325,139.649700
高島平,35.788935,139.661295
高田馬場,35.713280,139.705045
高輪ゲートウェイ,35.635500,139.740700
高輪台,35.631680,139.730365
鶯谷,35.721455,139.778030
麹町,35.684785,139.737350
麻布十番,35.656490,139.736105
