路線名,駅名,優先度,駅番号,隣接駅番号1,所要時間1,隣接駅番号2,所要時間2,隣接駅番号3,所要時間3
半蔵門線,錦糸町,,Z13,Z12,2,,,,
半蔵門線,押上,1,Z14,Z13,2,,,,
南北線,目黒,1,N01,,,,,,
南北線,白金台,,N02,N01,2,,,,
南北線,白金高輪,,N03,N02,2,,,,
南北線,麻布十番,,N04,N03,3,,,,
南北線,六本木一丁目,,N05,N04,2,,,,
南北線,溜池山王,,N06,N05,2,,,,
南北線,永田町,,N07,N06,2,,,,
南北線,四ツ谷,,N08,N07,2,,,,
南北線,市ヶ谷,,N09,N08,2,,,,
南北線,飯田橋,,N10,N09,2,,,,
南北線,後楽園,,N11,N10,2,,,,
南北線,東大前,,N12,N11,3,,,,
南北線,本駒込,,N13,N12,2,,,,
南北線,駒込,,N14,N13,2,,,,
南北線,西ヶ原,,N15,N14,2,,,,
南北線,王子,,N16,N15,2,,,,
南北線,王子神谷,,N17,N16,3,,,,
南北線,志茂,,N18,N17,2,,,,
南北線,赤羽岩淵,1,N19,N18,2,,,,
浅草線,西馬込,1,A01,,,,,,
浅草線,馬込,,A02,A01,1,,,,
浅草線,中延,,A03,A02,2,,,,
浅草線,戸越,,A04,A03,2,,,,
浅草線,五反田,,A05,A04,2,,,,
浅草線,高輪台,,A06,A05,2,,,,
浅草線,泉岳寺,,A07,A06,2,,,,
浅草線,三田,,A08,A07,3,,,,
浅草線,大門,,A09,A08,2,,,,
浅草線,新橋,,A10,A09,2,,,,
浅草線,東銀座,,A11,A10,2,,,,
浅草線,宝町,,A12,A11,2,,,,
浅草線,日本橋,,A13,A12,1,,,,
浅草線,人形町,,A14,A13,2,,,,
浅草線,東日本橋,,A15,A14,2,,,,
浅草線,浅草橋,,A16,A15,1,,,,
浅草線,蔵前,,A17,A16,2,,,,
浅草線,浅草,,A18,A17,2,,,,
浅草線,本所吾妻橋,,A19,A18,1,,,,
浅草線,押上,1,A20,A19,2,,,,
三田線,目黒,1,I01,,,,,,
三田線,白金台,,I02,I01,2,,,,
三田線,白金高輪,,I03,I02,2,,,,
三田線,三田,,I04,I03,3,,,,
三田線,芝公園,,I05,I04,2,,,,
三田線,御成門,,I06,I05,1,,,,
三田線,内幸町,,I07,I06,2,,,,
三田線,日比谷,,I08,I07,2,,,,
三田線,大手町,,I09,I08,2,,,,
三田線,神保町,,I10,I09,3,,,,
三田線,水道橋,,I11,I10,2,,,,
三田線,春日,,I12,I11,2,,,,
三田線,白山,,I13,I12,2,,,,
三田線,千石,,I14,I13,2,,,,
三田線,巣鴨,,I15,I14,2,,,,
三田線,西巣鴨,,I16,I15,2,,,,
三田線,新板橋,,I17,I16,2,,,,
三田線,板橋区役所前,,I18,I17,2,,,,
三田線,板橋本町,,I19,I18,2,,,,
三田線,本蓮沼,,I20,I19,1,,,,
三田線,志村坂上,,I21,I20,2,,,,
三田線,志村三丁目,,I22,I21,2,,,,
三田線,蓮根,,I23,I22,2,,,,
三田線,西台,,I24,I23,2,,,,
三田線,高島平,,I25,I24,2,,,,
三田線,新高島平,,I26,I25,2,,,,
三田線,西高島平,1,I27,I26,2,,,,
新宿線,新宿,1,S01,,,,,,
新宿線,新宿三丁目,,S02,S01,1,,,,
新宿線,曙橋,,S03,S02,2,,,,
新宿線,市ヶ谷,,S04,S03,2,,,,
新宿線,九段下,,S05,S04,3,,,,
新宿線,神保町,,S06,S05,1,,,,
新宿線,小川町,,S07,S06,2,,,,
新宿線,岩本町,,S08,S07,2,,,,
新宿線,馬喰横山,,S09,S08,1,,,,
新宿線,浜町,,S10,S09,2,,,,
新宿線,森下,,S11,S10,1,,,,
新宿線,菊川,,S12,S11,2,,,,
新宿線,住吉,,S13,S12,2,,,,
新宿線,西大島,,S14,S13,1,,,,
新宿線,大島,,S15,S14,2,,,,
新宿線,東大島,,S16,S15,2,,,,
新宿線,船堀,,S17,S16,3,,,,
新宿線,一之江,,S18,S17,2,,,,
新宿線,瑞江,,S19,S18,3,,,,
新宿線,篠崎,,S20,S19,2,,,,
新宿線,本八幡,1,S21,S20,4,,,,
大江戸線,新宿西口,1,E01,,,,,,
大江戸線,東新宿,,E02,E01,3,,,,
大江戸線,若松河田,,E03,E02,2,,,,
大江戸線,牛込柳町,,E04,E03,2,,,,
大江戸線,牛込神楽坂,,E05,E04,2,,,,
大江戸線,飯田橋,,E06,E05,2,,,,
大江戸線,春日,,E07,E06,3,,,,
大江戸線,本郷三丁目,,E08,E07,1,,,,
大江戸線,上野御徒町,,E09,E08,3,,,,
大江戸線,新御徒町,,E10,E09,1,,,,
大江戸線,蔵前,,E11,E10,2,,,,
大江戸線,両国,,E12,E11,3,,,,
大江戸線,森下,,E13,E12,1,,,,
大江戸線,清澄白河,,E14,E13,2,,,,
大江戸線,門前仲町,,E15,E14,3,,,,
大江戸線,月島,,E16,E15,2,,,,
大江戸線,勝どき,,E17,E16,2,,,,
大江戸線,築地市場,,E18,E17,3,,,,
大江戸線,汐留,,E19,E18,2,,,,
大江戸線,大門,,E20,E19,2,,,,
大江戸線,赤羽橋,,E21,E20,3,,,,
大江戸線,麻布十番,,E22,E21,2,,,,
大江戸線,六本木,,E23,E22,2,,,,
大江戸線,青山一丁目,,E24,E23,3,,,,
大江戸線,国立競技場,,E25,E24,2,,,,
大江戸線,代々木,,E26,E25,3,,,,
大江戸線,新宿,,E27,E26,2,,,,
大江戸線,都庁前,1,E28,E27,1,E01,1,,
大江戸線,西新宿五丁目,,E29,E28,1,,,,
大江戸線,中野坂上,,E30,E29,2,,,,
大江戸線,東中野,,E31,E30,2,,,,
大江戸線,中井,,E32,E31,2,,,,
大江戸線,落合南長崎,,E33,E32,3,,,,
大江戸線,新江古田,,E34,E33,2,,,,
大江戸線,練馬,,E35,E34,3,,,,
大江戸線,豊島園,,E36,E35,2,,,,
大江戸線,練馬春日町,,E37,E36,2,,,,
大江戸線,光が丘,1,E38,E37,2,,,,
山手線,東京,2,YT01,,,,,,
山手線,有楽町,,YT02,YT01,2,,,,
山手線,新橋,,YT03,YT02,2,,,,
山手線,浜松町,,YT04,YT03,2,,,,
山手線,田町,,YT05,YT04,3,,,,
山手線,品川,2,YT06,YT05,3,,,,
山手線,大崎,,YT07,YT06,3,,,,
山手線,五反田,,YT08,YT07,2,,,,
山手線,目黒,,YT09,YT08,2,,,,
山手線,恵比寿,,YT10,YT09,3,,,,
山手線,渋谷,2,YT11,YT10,2,,,,
山手線,原宿,,YT12,YT11,3,,,,
山手線,代々木,,YT13,YT12,2,,,,
山手線,新宿,2,YT14,YT13,2,,,,
山手線,新大久保,,YT15,YT14,2,,,,
山手線,高田馬場,,YT16,YT15,2,,,,
山手線,目白,,YT17,YT16,2,,,,
山手線,池袋,2,YT18,YT17,3,,,,
山手線,大塚,,YT19,YT18,2,,,,
山手線,巣鴨,,YT20,YT19,2,,,,
山手線,駒込,,YT21,YT20,2,,,,
山手線,田端,,YT22,YT21,2,,,,
山手線,西日暮里,,YT23,YT22,2,,,,
山手線,日暮里,,YT24,YT23,1,,,,
山手線,鶯谷,,YT25,YT24,2,,,,
山手線,上野,2,YT26,YT25,2,,,,
山手線,御徒町,,YT27,YT26,2,,,,
山手線,秋葉原,,YT28,YT27,2,,,,
山手線,神田,,YT29,YT28,2,YT01,2,,
中央・総武線,津田沼,1,CS07,,,,,,
中央・総武線,東船橋,,CS08,CS07,3,,,,
中央・総武線,船橋,,CS09,CS08,2,,,,
中央・総武線,西船橋,,CS10,CS09,3,,,,
中央・総武線,下総中山,,CS11,CS10,3,,,,
中央・総武線,本八幡,,CS12,CS11,3,,,,
中央・総武線,市川,,CS13,CS12,2,,,,
中央・総武線,小岩,,CS14,CS13,3,,,,
中央・総武線,新小岩,,CS15,CS14,4,,,,
中央・総武線,平井,,CS16,CS15,2,,,,
中央・総武線,亀戸,,CS17,CS16,3,,,,
中央・総武線,錦糸町,,CS18,CS17,2,,,,
中央・総武線,両国,,CS19,CS18,3,,,,
中央・総武線,浅草橋,,CS20,CS19,2,,,,
中央・総武線,秋葉原,,CS21,CS20,2,,,,
中央・総武線,御茶ノ水,,CS22,CS21,2,,,,
中央・総武線,水道橋,,CS23,CS22,2,,,,
中央・総武線,飯田橋,,CS24,CS23,2,,,,
中央・総武線,市ヶ谷,,CS25,CS24,2,,,,
中央・総武線,四ツ谷,,CS26,CS25,2,,,,
中央・総武線,信濃町,,CS27,CS26,2,,,,
中央・総武線,千駄ヶ谷,,CS28,CS27,2,,,,
中央・総武線,代々木,,CS29,CS28,2,,,,
中央・総武線,新宿,,CS30,CS29,2,,,,
中央・総武線,大久保,,CS31,CS30,2,,,,
中央・総武線,東中野,,CS32,CS31,2,,,,
中央・総武線,中野,,CS33,CS32,3,,,,
中央・総武線,高円寺,,CS34,CS33,2,,,,
中央・総武線,阿佐ヶ谷,,CS35,CS34,2,,,,
中央・総武線,荻窪,,CS36,CS35,2,,,,
中央・総武線,西荻窪,,CS37,CS36,3,,,,
中央・総武線,吉祥寺,,CS38,CS37,2,,,,
中央・総武線,三鷹,1,CS39,CS38,3,,,,
中央・総武線,神田,,cs21,CS22,2,,,,
中央・総武線,東京,,cs20,cs21,2,,,,
中央・総武線,新日本橋,,cs19,cs20,2,,,,
中央・総武線,馬喰町,,cs18,cs19,2,CS18,4,,
